001  00488 |Loss: 1.922 | Acc: 33.000% 
001  00489 |Loss: 1.920 | Acc: 33.000% 
001  00490 |Loss: 1.921 | Acc: 33.000% 
001  00491 |Loss: 1.921 | Acc: 33.000% 
001  00492 |Loss: 1.922 | Acc: 33.000% 
001  00493 |Loss: 1.920 | Acc: 33.000% 
001  00494 |Loss: 1.919 | Acc: 33.000% 
001  00495 |Loss: 1.919 | Acc: 33.000% 
001  00496 |Loss: 1.918 | Acc: 33.000% 
001  00497 |Loss: 1.917 | Acc: 33.000% 
001  00498 |Loss: 1.915 | Acc: 33.000% 
001  00499 |Loss: 1.917 | Acc: 33.000% 
001  00500 |Loss: 1.915 | Acc: 33.000% 
001  00501 |Loss: 1.915 | Acc: 33.000% 
001  00502 |Loss: 1.914 | Acc: 33.000% 
001  00503 |Loss: 1.913 | Acc: 33.000% 
001  00504 |Loss: 1.914 | Acc: 33.000% 
001  00505 |Loss: 1.914 | Acc: 33.000% 
001  00506 |Loss: 1.912 | Acc: 33.000% 
001  00507 |Loss: 1.911 | Acc: 33.000% 
001  00508 |Loss: 1.912 | Acc: 33.000% 
001  00509 |Loss: 1.911 | Acc: 33.000% 
001  00510 |Loss: 1.909 | Acc: 33.000% 
001  00511 |Loss: 1.908 | Acc: 33.000% 
001  00512 |Loss: 1.906 | Acc: 33.000% 
001  00513 |Loss: 1.905 | Acc: 33.000% 
001  00514 |Loss: 1.904 | Acc: 33.000% 
001  00515 |Loss: 1.904 | Acc: 33.000% 
001  00516 |Loss: 1.902 | Acc: 33.000% 
001  00517 |Loss: 1.902 | Acc: 33.000% 
001  00518 |Loss: 1.901 | Acc: 33.000% 
